Date,Open,High,Low,Close,Volume
14-Sep-15,72.31,72.58,71.76,72.49,10738538
11-Sep-15,72.40,72.72,72.01,72.69,12172259
10-Sep-15,72.81,72.98,71.80,72.52,12327340
9-Sep-15,74.37,74.68,71.85,72.00,17246222
8-Sep-15,73.72,73.72,72.97,73.50,13626907
4-Sep-15,72.93,73.14,72.25,72.46,14902476
3-Sep-15,73.64,74.91,73.34,73.79,13451867
2-Sep-15,73.06,73.24,72.00,73.23,16936898
1-Sep-15,73.30,73.35,71.51,72.08,24092930
31-Aug-15,74.28,75.55,73.30,75.24,19570103
28-Aug-15,74.71,75.98,74.41,75.07,18997331
27-Aug-15,73.80,74.89,73.01,74.85,24570983
26-Aug-15,70.63,72.75,69.15,72.50,34436044
25-Aug-15,71.31,71.44,68.20,68.71,30409744
24-Aug-15,67.99,71.38,66.55,68.72,35531225
21-Aug-15,74.10,74.89,72.07,72.13,25488846
20-Aug-15,76.00,76.18,74.57,74.57,17811205
19-Aug-15,77.51,77.58,75.93,76.23,17010104
18-Aug-15,78.53,78.67,77.58,77.90,9815315
17-Aug-15,77.93,79.18,77.45,78.77,9365433
14-Aug-15,78.64,79.28,78.25,78.36,9129284
13-Aug-15,78.32,79.29,78.27,78.65,13154102
12-Aug-15,77.44,78.87,76.96,78.79,16909190
11-Aug-15,77.01,78.07,76.33,77.49,14486353
10-Aug-15,77.09,78.75,77.09,78.75,14876012
7-Aug-15,77.55,77.97,76.62,76.83,12187623
6-Aug-15,76.94,78.26,76.91,78.09,13005213
5-Aug-15,77.87,78.23,76.90,77.17,16544386
4-Aug-15,77.88,78.61,76.93,77.17,18874419
3-Aug-15,78.70,78.93,77.63,78.06,15767743
31-Jul-15,81.67,81.67,78.93,79.21,26232661
30-Jul-15,83.18,83.32,82.42,83.01,11139943
29-Jul-15,82.18,83.20,81.91,83.14,13913768
28-Jul-15,79.70,82.66,79.56,82.48,19777278
27-Jul-15,79.23,80.13,78.97,79.26,14996094
24-Jul-15,81.16,81.16,79.72,79.94,14888464
23-Jul-15,81.73,81.97,80.97,81.14,10496096
22-Jul-15,82.35,82.47,81.58,81.79,13181463
21-Jul-15,81.93,82.43,81.43,81.66,8677069
20-Jul-15,82.15,82.41,81.60,81.76,12957060
17-Jul-15,82.51,82.84,81.79,82.61,12156000
16-Jul-15,83.18,83.48,82.80,82.91,8267647
15-Jul-15,82.61,83.42,82.40,82.76,9289210
14-Jul-15,82.38,83.32,82.26,83.11,9310155
13-Jul-15,82.11,82.61,82.07,82.42,8026658
10-Jul-15,82.09,82.49,81.60,82.22,8628659
9-Jul-15,82.87,83.15,81.58,81.60,11980543
8-Jul-15,82.25,82.98,81.91,81.97,10056994
7-Jul-15,82.19,83.23,81.49,82.87,15641535
6-Jul-15,82.42,83.06,82.12,82.53,11694425
2-Jul-15,82.79,83.28,82.55,83.14,9187997
1-Jul-15,83.28,83.53,82.11,82.37,13529076
30-Jun-15,83.74,84.90,82.80,83.20,14981145
29-Jun-15,83.05,83.45,82.80,82.82,11739236
26-Jun-15,83.83,84.10,83.49,83.86,19023328
25-Jun-15,84.85,84.85,83.93,83.93,10259382
24-Jun-15,84.89,85.34,84.66,84.68,11800118
23-Jun-15,85.22,85.28,84.59,85.07,10223910
22-Jun-15,85.39,85.60,84.97,85.17,9465144
19-Jun-15,84.92,85.48,84.92,85.21,16129576
18-Jun-15,84.80,85.96,84.72,85.48,10247825
17-Jun-15,85.03,85.13,84.41,84.73,9090188
16-Jun-15,83.81,84.75,83.40,84.68,9100116
15-Jun-15,83.53,83.98,83.19,83.72,9563933
12-Jun-15,84.58,84.68,83.86,84.02,8347341
11-Jun-15,85.30,85.70,84.89,85.09,7759265
10-Jun-15,85.84,85.97,85.00,85.21,10147049
9-Jun-15,85.29,85.43,84.49,84.58,8105514
8-Jun-15,84.18,85.21,83.93,84.85,12244688
5-Jun-15,84.13,85.00,83.98,84.28,11388508
4-Jun-15,84.70,84.89,83.78,84.22,12607257
3-Jun-15,85.23,85.84,84.86,84.95,8179540
2-Jun-15,85.12,85.59,84.91,85.14,9328322
1-Jun-15,85.25,85.47,84.80,85.13,9077512
29-May-15,85.10,85.58,84.88,85.20,14631316
28-May-15,85.11,85.57,84.82,85.11,8038943
27-May-15,85.30,85.89,84.77,85.11,10778275
26-May-15,86.04,86.37,85.03,85.35,11288963
22-May-15,86.99,87.10,86.50,86.52,7598432
21-May-15,87.28,87.44,86.96,87.21,8357353
20-May-15,87.39,87.40,86.91,87.13,7276571
19-May-15,86.47,87.21,86.21,86.99,9777078
18-May-15,87.31,87.46,86.78,86.85,6395354
15-May-15,86.80,87.62,86.60,87.35,8422209
14-May-15,86.93,87.34,86.75,86.97,8791275
13-May-15,87.28,87.73,86.40,86.56,8629433
12-May-15,86.89,87.46,86.42,87.02,9788887
11-May-15,88.53,88.57,86.65,86.78,11997787
8-May-15,88.47,89.07,87.82,88.99,11390293
7-May-15,88.00,88.10,86.92,87.60,9992451
6-May-15,89.65,89.96,87.79,88.19,11273450
5-May-15,89.97,90.09,88.52,88.61,11895027
4-May-15,89.42,89.88,88.95,89.11,10343675
1-May-15,87.85,88.95,87.70,88.85,12257076
30-Apr-15,88.67,88.67,87.22,87.37,13947730
29-Apr-15,87.50,88.07,86.96,87.87,12534119
28-Apr-15,87.22,87.86,87.04,87.80,9633764
27-Apr-15,87.41,87.60,86.76,87.01,10534606
24-Apr-15,87.19,87.36,86.66,86.97,8405737
23-Apr-15,87.36,88.38,87.31,87.54,9866129
22-Apr-15,87.04,87.80,86.34,87.46,8663587
21-Apr-15,87.38,87.62,86.68,86.88,10100460
20-Apr-15,87.13,88.10,87.08,87.24,11593561
17-Apr-15,87.14,87.36,86.16,86.93,14430130
16-Apr-15,87.88,88.16,87.11,87.73,9570809
15-Apr-15,87.14,88.53,87.14,88.08,15332834
14-Apr-15,85.60,87.48,85.53,86.63,15693825
13-Apr-15,85.92,86.25,85.24,85.34,9880507
10-Apr-15,85.37,86.04,84.77,85.56,13372433
9-Apr-15,84.00,84.73,83.81,84.65,13281833
8-Apr-15,85.80,85.90,84.02,84.06,16257095
7-Apr-15,85.01,86.17,84.76,85.75,11836065
6-Apr-15,85.15,85.64,84.20,85.13,10916434
2-Apr-15,84.09,84.94,83.85,84.30,11297401
1-Apr-15,85.70,86.00,84.26,84.46,14522257
31-Mar-15,84.85,85.34,84.46,85.00,13353990
30-Mar-15,84.27,85.82,84.25,85.63,15653170
27-Mar-15,84.04,84.05,83.33,83.58,11579299
26-Mar-15,85.30,85.57,84.09,84.32,14400695
25-Mar-15,85.05,85.57,84.77,84.86,11934737
24-Mar-15,85.30,85.78,84.50,84.52,10174292
23-Mar-15,85.02,85.78,85.01,85.43,17450685
20-Mar-15,84.67,85.40,84.39,84.54,36083450
19-Mar-15,85.19,85.50,84.32,84.41,12738497
18-Mar-15,83.54,86.37,83.43,86.07,18745653
17-Mar-15,84.54,84.85,84.02,84.08,12979713
16-Mar-15,83.71,84.86,83.27,84.76,13516235
13-Mar-15,83.90,84.18,82.68,83.87,16799920
12-Mar-15,84.43,84.72,84.06,84.22,10792898
11-Mar-15,84.93,84.93,84.00,84.02,13004655
10-Mar-15,84.82,85.53,84.24,84.26,17195460
9-Mar-15,86.12,86.38,85.12,85.16,14503802
6-Mar-15,86.41,86.60,85.32,85.63,16070466
5-Mar-15,87.07,87.19,86.52,86.74,12527581
4-Mar-15,87.96,87.96,86.93,87.18,13467554
3-Mar-15,87.93,88.02,87.13,87.62,13493839
2-Mar-15,88.34,88.52,87.35,88.04,13793671
27-Feb-15,88.89,89.28,88.34,88.54,13090560
26-Feb-15,89.13,89.18,88.08,88.65,13984008
25-Feb-15,89.57,89.70,89.08,89.60,9925652
24-Feb-15,89.33,89.78,89.13,89.42,9990726
23-Feb-15,89.26,89.55,88.74,89.01,12771790
20-Feb-15,89.40,89.94,88.85,89.92,15959865
19-Feb-15,89.64,90.42,88.58,89.44,19350556
18-Feb-15,91.99,91.99,90.39,91.01,19177925
17-Feb-15,92.75,93.07,92.29,93.05,11758746
13-Feb-15,92.70,93.45,92.28,93.37,12060981
12-Feb-15,91.46,92.66,91.02,92.37,14842992
11-Feb-15,90.02,90.83,89.79,90.60,12240595
10-Feb-15,91.74,91.74,90.30,91.01,12952873
9-Feb-15,91.40,92.29,91.24,91.56,11360679
6-Feb-15,92.10,92.28,90.96,91.50,12331189
5-Feb-15,92.39,92.54,91.70,92.36,12809028
4-Feb-15,91.64,92.27,90.51,91.46,19632169
3-Feb-15,90.90,92.33,90.81,92.25,21900857
2-Feb-15,87.85,89.59,87.50,89.58,20306347
30-Jan-15,87.16,88.42,86.25,87.42,22679947
29-Jan-15,88.22,88.26,86.03,87.58,22682981
28-Jan-15,90.88,90.93,87.82,87.95,17829700
27-Jan-15,91.24,91.60,90.60,90.95,12301462
26-Jan-15,90.61,91.94,90.47,91.76,10672507
23-Jan-15,92.28,92.48,90.78,90.89,14706313
22-Jan-15,92.31,92.97,91.32,92.87,13558953
21-Jan-15,91.74,91.99,91.01,91.87,14276380
20-Jan-15,91.14,91.78,90.38,91.09,16760994
16-Jan-15,88.98,91.19,88.98,91.12,17713093
15-Jan-15,90.43,90.66,88.51,88.96,18759590
14-Jan-15,88.95,89.89,87.26,89.74,23272056
13-Jan-15,90.88,91.43,89.11,90.00,17469028
12-Jan-15,91.24,91.34,89.82,90.33,15176303
9-Jan-15,92.30,92.78,91.37,92.10,14488415
8-Jan-15,91.25,92.27,91.00,92.23,15487496
7-Jan-15,90.65,91.48,90.00,90.72,13590721
6-Jan-15,90.24,91.41,89.02,89.81,16670713
5-Jan-15,92.10,92.40,89.50,90.29,18502381
2-Jan-15,92.25,93.05,91.81,92.83,10220410
31-Dec-14,92.42,93.13,92.06,92.45,11337219
30-Dec-14,92.77,93.39,92.51,93.02,8743369
29-Dec-14,93.33,93.86,92.89,93.07,9892119
26-Dec-14,93.99,94.43,92.62,93.21,10584997
24-Dec-14,94.22,94.25,92.98,93.78,6875691
23-Dec-14,93.52,95.18,93.05,94.59,13706536
22-Dec-14,92.96,93.67,92.45,93.33,17871762
19-Dec-14,90.21,93.64,89.61,93.64,38468954
18-Dec-14,90.37,91.16,88.40,91.16,22882705
17-Dec-14,87.24,89.90,87.15,89.02,23323043
16-Dec-14,86.38,89.20,86.19,86.41,26372409
15-Dec-14,87.53,88.60,86.50,86.90,21373561
12-Dec-14,88.71,89.00,86.60,86.60,24568339
11-Dec-14,88.86,91.54,88.85,89.20,21522152
10-Dec-14,90.72,90.73,88.20,88.67,22279389
9-Dec-14,91.23,92.06,90.76,91.38,15883826
8-Dec-14,92.90,93.13,91.36,91.70,15735859
5-Dec-14,93.95,94.59,93.35,93.82,11831896
4-Dec-14,94.13,94.61,93.07,94.37,13115285
3-Dec-14,94.67,95.33,94.00,94.95,16220449
2-Dec-14,92.32,94.67,92.01,94.19,20885295
1-Dec-14,90.36,92.87,90.28,92.35,27584224
28-Nov-14,91.50,91.85,90.11,90.54,19556690
26-Nov-14,94.64,95.13,94.36,94.48,9822941
25-Nov-14,96.01,96.03,94.37,94.78,13747362
24-Nov-14,96.34,96.80,95.25,95.72,10172405
21-Nov-14,97.20,97.20,96.10,96.81,12374854
20-Nov-14,95.37,95.90,95.26,95.82,8422369
19-Nov-14,95.08,95.74,94.13,95.61,8333169
18-Nov-14,95.08,95.75,94.53,94.87,9272445
17-Nov-14,94.85,95.14,94.19,95.11,8704386
14-Nov-14,94.87,95.11,94.65,95.09,9352535
13-Nov-14,94.96,95.21,93.83,94.66,12355397
